entity_id,name_zh,start_year,end_year,legal_status,verification_status,source_id
CNUR-000001,北京市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000002,天津市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000003,石家庄市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000004,唐山市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000005,秦皇岛市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000006,邯郸市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000007,邢台市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000008,保定市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000009,张家口市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000010,承德市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000011,沧州市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000012,廊坊市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000013,衡水市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000014,太原市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000015,大同市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000016,阳泉市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000017,长治市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000018,晋城市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000019,朔州市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000020,晋中市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000021,运城市,2000,2024,active,event_crosschecked,SRC-LEGACY-SNAPSHOT
CNUR-000022,忻州市,2000,2024,active,event_crosschecked,SRC-LEGACY-SNAPSHOT
CNUR-000023,临汾市,2000,2024,active,event_crosschecked,SRC-LEGACY-SNAPSHOT
CNUR-000024,吕梁地区,2000,2002,active,event_crosschecked,SRC-LEGACY-SNAPSHOT
CNUR-000024,吕梁市,2003,2024,active,event_crosschecked,SRC-LEGACY-SNAPSHOT
CNUR-000025,呼和浩特市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000026,包头市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000027,乌海市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000028,赤峰市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000029,通辽市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000030,伊克昭盟,2000,2000,active,event_crosschecked,SRC-LEGACY-SNAPSHOT
CNUR-000030,鄂尔多斯市,2001,2024,active,event_crosschecked,SRC-LEGACY-SNAPSHOT
CNUR-000031,呼伦贝尔盟,2000,2000,active,event_crosschecked,SRC-LEGACY-SNAPSHOT
CNUR-000031,呼伦贝尔市,2001,2024,active,event_crosschecked,SRC-LEGACY-SNAPSHOT
CNUR-000032,巴彦淖尔盟,2000,2002,active,event_crosschecked,SRC-LEGACY-SNAPSHOT
CNUR-000032,巴彦淖尔市,2003,2024,active,event_crosschecked,SRC-LEGACY-SNAPSHOT
CNUR-000033,乌兰察布盟,2000,2002,active,event_crosschecked,SRC-LEGACY-SNAPSHOT
CNUR-000033,乌兰察布市,2003,2024,active,event_crosschecked,SRC-LEGACY-SNAPSHOT
CNUR-000034,兴安盟,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000035,锡林郭勒盟,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000036,阿拉善盟,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000037,沈阳市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000038,大连市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000039,鞍山市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000040,抚顺市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000041,本溪市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000042,丹东市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000043,锦州市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000044,营口市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000045,阜新市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000046,辽阳市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000047,盘锦市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000048,铁岭市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000049,朝阳市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000050,葫芦岛市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000051,长春市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000052,吉林市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000053,四平市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000054,辽源市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000055,通化市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000056,白山市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000057,松原市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000058,白城市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000059,延边朝鲜族自治州,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000060,哈尔滨市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000061,齐齐哈尔市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000062,鸡西市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000063,鹤岗市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000064,双鸭山市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000065,大庆市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000066,伊春市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000067,佳木斯市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000068,七台河市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000069,牡丹江市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000070,黑河市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000071,绥化市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000072,大兴安岭地区,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000073,上海市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000074,南京市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000075,无锡市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000076,徐州市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000077,常州市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000078,苏州市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000079,南通市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000080,连云港市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000081,淮安市,2000,2024,active,event_crosschecked,SRC-LEGACY-SNAPSHOT
CNUR-000082,盐城市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000083,扬州市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000084,镇江市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000085,泰州市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000086,宿迁市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000087,杭州市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000088,宁波市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000089,温州市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000090,嘉兴市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000091,湖州市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000092,绍兴市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000093,金华市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000094,衢州市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000095,舟山市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000096,台州市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000097,丽水市,2000,2024,active,event_crosschecked,SRC-LEGACY-SNAPSHOT
CNUR-000098,合肥市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000099,芜湖市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000100,蚌埠市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000101,淮南市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000102,马鞍山市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000103,淮北市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000104,铜陵市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000105,安庆市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000106,黄山市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000107,滁州市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000108,阜阳市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000109,宿州市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000110,巢湖市,2000,2010,active,wikipedia_verified,SRC-WIKI-2011
CNUR-000110,,2011,2024,abolished,wikipedia_verified,SRC-WIKI-2011
CNUR-000111,六安市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000112,亳州市,2000,2024,active,event_crosschecked,SRC-LEGACY-SNAPSHOT
CNUR-000113,池州市,2000,2024,active,event_crosschecked,SRC-LEGACY-SNAPSHOT
CNUR-000114,宣城市,2000,2024,active,event_crosschecked,SRC-LEGACY-SNAPSHOT
CNUR-000115,福州市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000116,厦门市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000117,莆田市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000118,三明市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000119,泉州市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000120,漳州市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000121,南平市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000122,龙岩市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000123,宁德市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000124,南昌市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000125,景德镇市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000126,萍乡市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000127,九江市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000128,新余市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000129,鹰潭市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000130,赣州市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000131,吉安市,2000,2024,active,event_crosschecked,SRC-LEGACY-SNAPSHOT
CNUR-000132,宜春市,2000,2024,active,event_crosschecked,SRC-LEGACY-SNAPSHOT
CNUR-000133,抚州市,2000,2024,active,event_crosschecked,SRC-LEGACY-SNAPSHOT
CNUR-000134,上饶市,2000,2024,active,event_crosschecked,SRC-LEGACY-SNAPSHOT
CNUR-000135,济南市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000136,青岛市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000137,淄博市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000138,枣庄市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000139,东营市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000140,烟台市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000141,潍坊市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000142,济宁市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000143,泰安市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000144,威海市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000145,日照市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000146,莱芜市,2000,2018,active,wikipedia_verified,SRC-WIKI-2019
CNUR-000146,,2019,2024,abolished,wikipedia_verified,SRC-WIKI-2019
CNUR-000147,临沂市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000148,德州市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000149,聊城市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000150,滨州市,2000,2024,active,event_crosschecked,SRC-LEGACY-SNAPSHOT
CNUR-000151,菏泽市,2000,2024,active,event_crosschecked,SRC-LEGACY-SNAPSHOT
CNUR-000152,郑州市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000153,开封市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000154,洛阳市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000155,平顶山市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000156,安阳市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000157,鹤壁市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000158,新乡市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000159,焦作市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000160,濮阳市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000161,许昌市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000162,漯河市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000163,三门峡市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000164,南阳市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000165,商丘市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000166,信阳市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000167,周口市,2000,2024,active,event_crosschecked,SRC-LEGACY-SNAPSHOT
CNUR-000168,驻马店市,2000,2024,active,event_crosschecked,SRC-LEGACY-SNAPSHOT
CNUR-000169,武汉市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000170,黄石市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000171,十堰市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000172,宜昌市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000173,襄樊市,2000,2009,active,event_crosschecked,SRC-LEGACY-SNAPSHOT
CNUR-000173,襄阳市,2010,2024,active,event_crosschecked,SRC-LEGACY-SNAPSHOT
CNUR-000174,鄂州市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000175,荆门市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000176,孝感市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000177,荆州市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000178,黄冈市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000179,咸宁市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000180,随州市,2000,2024,active,event_crosschecked,SRC-LEGACY-SNAPSHOT
CNUR-000181,恩施土家族苗族自治州,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000182,长沙市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
